#NSGA2
popsize 50
maxGen 100
numVar 1
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.46771
firstFrontCount	1
frontCount	50
avgEvalTime	0.00896027
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	



#Generation 60 / 100
currentGen	60
evaluateCount	3000
totalTime	29.8568
firstFrontCount	50
frontCount	1
avgEvalTime	0.00936607
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	



#Generation 70 / 100
currentGen	70
evaluateCount	3500
totalTime	34.6906
firstFrontCount	50
frontCount	1
avgEvalTime	0.00894078
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	



#Generation 80 / 100
currentGen	80
evaluateCount	4000
totalTime	39.2306
firstFrontCount	50
frontCount	1
avgEvalTime	0.00823602
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	



#Generation 90 / 100
currentGen	90
evaluateCount	4500
totalTime	43.6419
firstFrontCount	50
frontCount	1
avgEvalTime	0.00809265
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
